tagId,tag
1,007
2,007 (series)
3,18th century
4,1920s
5,1930s
6,1950s
7,1960s
8,1970s
9,1980s
10,19th century
11,3d
12,70mm
13,80s
14,9/11
15,aardman
16,aardman studios
17,abortion
18,absurd
19,action
20,action packed
21,adaptation
22,adapted from:book
23,adapted from:comic
24,adapted from:game
25,addiction
26,adolescence
27,adoption
28,adultery
29,adventure
30,affectionate
31,afi 100
32,afi 100 (laughs)
33,afi 100 (movie quotes)
34,africa
35,afterlife
36,aging
37,aids
38,airplane
39,airport
40,alaska
41,alcatraz
42,alcoholism
43,alien
44,alien invasion
45,aliens
46,allegory
47,almodovar
48,alone in the world
49,alter ego
50,alternate endings
51,alternate history
52,alternate reality
53,alternate universe
54,amazing cinematography
55,amazing photography
56,american civil war
57,amnesia
58,amy smart
59,android(s)/cyborg(s)
60,androids
61,animal movie
62,animals
63,animated
64,animation
65,anime
66,antarctica
67,anti-hero
68,anti-semitism
69,anti-war
70,apocalypse
71,archaeology
72,argentina
73,arms dealer
74,arnold
75,art
76,art house
77,artificial intelligence
78,artist
79,artistic
80,artsy
81,assassin
82,assassination
83,assassins
84,astronauts
85,atheism
86,atmospheric
87,australia
88,australian
89,author:alan moore
90,author:neil gaiman
91,autism
92,aviation
93,awesome
94,awesome soundtrack
95,awful
96,bad
97,bad acting
98,bad cgi
99,bad ending
100,bad plot
101,bad science
102,bad script
103,bad sequel
104,ballet
105,bank robbery
106,baseball
107,based on a book
108,based on a comic
109,based on a play
110,based on a true story
111,based on a tv show
112,based on a video game
113,based on book
114,based on comic
115,based on true story
116,basketball
117,batman
118,bdsm
119,beatles
120,beautiful
121,beautiful scenery
122,beautifully filmed
123,beauty pageant
124,beer
125,berlin
126,best of 2005
127,best war films
128,betrayal
129,better than expected
130,better than the american version
131,biblical
132,big budget
133,biographical
134,biography
135,biopic
136,birds
137,biting
138,bittersweet
139,bizarre
140,black and white
141,black comedy
142,blaxploitation
143,bleak
144,blindness
145,blood
146,bloody
147,boarding school
148,boat
149,bollywood
150,bombs
151,bond
152,book
153,book was better
154,books
155,boring
156,boring!
157,boston
158,bowling
159,boxing
160,brainwashing
161,brazil
162,breathtaking
163,brilliant
164,british
165,british comedy
166,broadway
167,brothers
168,brutal
169,brutality
170,buddy movie
171,bullshit history
172,bullying
173,business
174,c.s. lewis
175,california
176,camp
177,campy
178,canada
179,cancer
180,cannibalism
181,caper
182,capitalism
183,car chase
184,carrie-anne moss
185,cars
186,cartoon
187,casino
188,catastrophe
189,cathartic
190,catholicism
191,censorship
192,cerebral
193,cgi
194,character study
195,chase
196,cheating
197,cheerleading
198,cheesy
199,chess
200,chicago
201,chick flick
202,child abuse
203,childhood
204,children
205,china
206,chocolate
207,chris tucker
208,christian
209,christianity
210,christmas
211,cia
212,cinematography
213,circus
214,civil war
215,classic
216,classic car
217,classical music
218,claustrophobic
219,claymation
220,clever
221,clones
222,cloning
223,clowns
224,coen bros
225,coen brothers
226,cold war
227,college
228,colonialism
229,colourful
230,comedy
231,comic
232,comic book
233,comic book adaption
234,comics
235,coming of age
236,coming-of-age
237,communism
238,compassionate
239,competition
240,complex
241,complex characters
242,complicated
243,complicated plot
244,computer animation
245,computer game
246,computers
247,con artists
248,con men
249,confrontational
250,confusing
251,conspiracy
252,conspiracy theory
253,controversial
254,cooking
255,cool
256,corny
257,corporate america
258,corruption
259,costume drama
260,courage
261,court
262,courtroom
263,courtroom drama
264,crappy sequel
265,crazy
266,creativity
267,creepy
268,crime
269,crime gone awry
270,criterion
271,cross dressing
272,crude humor
273,cuba
274,cult
275,cult classic
276,cult film
277,culture clash
278,cute
279,cute!
280,cyberpunk
281,cyborgs
282,cynical
283,dance
284,dancing
285,dark
286,dark comedy
287,dark fantasy
288,dark hero
289,dark humor
290,dc comics
291,deadpan
292,death
293,death penalty
294,demons
295,depp & burton
296,depressing
297,depression
298,desert
299,destiny
300,detective
301,devil
302,dialogue
303,dialogue driven
304,dinosaurs
305,directorial debut
306,disability
307,disappointing
308,disaster
309,disney
310,disney animated feature
311,distopia
312,disturbing
313,divorce
314,doctors
315,documentary
316,dog
317,dogs
318,dolphins
319,downbeat
320,dr. seuss
321,dragon
322,dragons
323,drama
324,dramatic
325,dreamlike
326,dreams
327,dreamworks
328,drinking
329,drug abuse
330,drug addiction
331,drugs
332,dumb
333,dumb but funny
334,dynamic cgi action
335,dysfunctional family
336,dystopia
337,dystopic future
338,earnest
339,easily confused with other movie(s) (title)
340,east germany
341,eccentricity
342,ecology
343,educational
344,eerie
345,effects
346,egypt
347,emma watson
348,emotional
349,end of the world
350,england
351,enigmatic
352,ennio morricone
353,enormously long battle scene
354,ensemble cast
355,entertaining
356,entirely dialogue
357,environment
358,environmental
359,epic
360,erotic
361,espionage
362,ethnic conflict
363,evolution
364,excellent
365,excellent script
366,exceptional acting
367,exciting
368,existentialism
369,explosions
370,factual
371,fairy tale
372,fairy tales
373,fake documentary
374,family
375,family bonds
376,family drama
377,fantasy
378,fantasy world
379,farce
380,fascism
381,fashion
382,fast paced
383,father daughter relationship
384,father son relationship
385,father-son relationship
386,fbi
387,feel good movie
388,feel-good
389,fight scenes
390,fighting
391,fighting the system
392,figure skating
393,film noir
394,finnish
395,firefly
396,first contact
397,fish
398,flashbacks
399,food
400,football
401,forceful
402,foreign
403,foul language
404,fountain of youth
405,france
406,franchise
407,francis ford copolla
408,free speech
409,free to download
410,freedom
411,french
412,friendship
413,frightening
414,fun
415,fun movie
416,funniest movies
417,funny
418,funny as hell
419,future
420,futuristic
421,gambling
422,gangs
423,gangster
424,gangsters
425,gay
426,gay character
427,geek
428,geeks
429,genetics
430,genius
431,genocide
432,george orwell
433,german
434,germany
435,ghosts
436,ghosts/afterlife
437,giant robots
438,gilliam
439,girlie movie
440,glbt
441,global warming
442,god
443,golden palm
444,golf
445,good
446,good acting
447,good action
448,good dialogue
449,good music
450,good romantic comedies
451,good sequel
452,good soundtrack
453,good story
454,good versus evil
455,goofy
456,gore
457,goretastic
458,gory
459,goth
460,gothic
461,graphic design
462,graphic novel
463,gratuitous violence
464,great
465,great acting
466,great cinematography
467,great dialogue
468,great ending
469,great movie
470,great music
471,great soundtrack
472,greed
473,grim
474,grindhouse
475,gritty
476,gross-out
477,gruesome
478,guilt
479,guilty pleasure
480,gulf war
481,gunfight
482,guns
483,gypsy accent
484,hackers
485,hacking
486,halloween
487,hallucinatory
488,handycam
489,hannibal lecter
490,happy ending
491,hard to watch
492,harry potter
493,harsh
494,haunted house
495,hawaii
496,heartbreaking
497,heartwarming
498,heist
499,heroin
500,heroine
501,heroine in tight suit
502,high fantasy
503,high school
504,highly quotable
505,hilarious
506,hillarious
507,hip hop
508,historical
509,history
510,hit men
511,hitchcock
512,hitman
513,holiday
514,hollywood
515,holocaust
516,homeless
517,homophobia
518,homosexuality
519,honest
520,hong kong
521,horrible
522,horror
523,horses
524,hospital
525,hostage
526,hotel
527,humanity
528,humor
529,humorous
530,hunting
531,idealism
532,identity
533,idiotic
534,imaginary friend
535,imagination
536,imdb top 250
537,immigrants
538,immortality
539,incest
540,independent film
541,india
542,indiana jones
543,indians
544,indie
545,infidelity
546,innocence lost
547,insanity
548,inspirational
549,inspiring
550,intellectual
551,intelligent
552,intelligent sci-fi
553,intense
554,interesting
555,internet
556,interracial romance
557,intimate
558,investigation
559,iran
560,iraq
561,iraq war
562,ireland
563,irish
564,irish accent
565,ironic
566,irreverent
567,islam
568,island
569,isolation
570,israel
571,italian
572,italy
573,james bond
574,jane austen
575,japan
576,japanese
577,jay and silent bob
578,jazz
579,jesus
580,jewish
581,jews
582,journalism
583,judaism
584,jungle
585,justice
